INSTITUTION	SITE	EMPLOYEETYPE	SAMACCOUNTNAME	DISTINGUISHEDNAME
CHU-BRUGMANN	ASTRID	ADMINISTRATIF	Tout le PATO de Reine Astrid	CN=Tout le PATO de Reine Astrid,OU=Distribution Group,OU=Exchange,OU=Applications,OU=Groups,OU=OSIRIS,DC=chu-brugmann,DC=be
CHU-BRUGMANN	ASTRID	MEDICAL	Tous les medecins de Brugmann	CN=Tous les medecins de Brugmann,OU=Security,OU=Groups,OU=OSIRIS,DC=chu-brugmann,DC=be
CHU-BRUGMANN	ASTRID	MEDICAL	Tout le nursing de Reine Astrid	CN=Tout le nursing de Reine Astrid,OU=Security,OU=Groups,OU=OSIRIS,DC=chu-brugmann,DC=be
CHU-BRUGMANN	ASTRID	NURSING	Tout le nursing de Reine Astrid	CN=Tout le nursing de Reine Astrid,OU=Security,OU=Groups,OU=OSIRIS,DC=chu-brugmann,DC=be
CHU-BRUGMANN	ASTRID	OTHER	Tout le PATO de Reine Astrid	CN=Tout le PATO de Reine Astrid,OU=Distribution Group,OU=Exchange,OU=Applications,OU=Groups,OU=OSIRIS,DC=chu-brugmann,DC=be
CHU-BRUGMANN	ASTRID	PARAMEDICAL	Tout le PATO de Reine Astrid	CN=Tout le PATO de Reine Astrid,OU=Distribution Group,OU=Exchange,OU=Applications,OU=Groups,OU=OSIRIS,DC=chu-brugmann,DC=be
CHU-BRUGMANN	ASTRID	TECHNIQUE	Tout le PATO de Reine Astrid	CN=Tout le PATO de Reine Astrid,OU=Distribution Group,OU=Exchange,OU=Applications,OU=Groups,OU=OSIRIS,DC=chu-brugmann,DC=be
CHU-BRUGMANN	BRIEN	ADMINISTRATIF	Tout le PATO de Brien	CN=Tout le PATO de Brien,OU=Distribution Group,OU=Exchange,OU=Applications,OU=Groups,OU=OSIRIS,DC=chu-brugmann,DC=be
CHU-BRUGMANN	BRIEN	MEDICAL	Tous les medecins de Brien	CN=Tous les medecins de Brien,OU=Security,OU=Groups,OU=OSIRIS,DC=chu-brugmann,DC=be
CHU-BRUGMANN	BRIEN	NURSING	Tout le nursing de Brien	CN=Tout le nursing de Brien,OU=Security,OU=Groups,OU=OSIRIS,DC=chu-brugmann,DC=be
CHU-BRUGMANN	BRIEN	OTHER	Tout le PATO de Brien	CN=Tout le PATO de Brien,OU=Distribution Group,OU=Exchange,OU=Applications,OU=Groups,OU=OSIRIS,DC=chu-brugmann,DC=be
CHU-BRUGMANN	BRIEN	PARAMEDICAL	Tout le PATO de Brien	CN=Tout le PATO de Brien,OU=Distribution Group,OU=Exchange,OU=Applications,OU=Groups,OU=OSIRIS,DC=chu-brugmann,DC=be
CHU-BRUGMANN	BRIEN	TECHNIQUE	Tout le PATO de Brien	CN=Tout le PATO de Brien,OU=Distribution Group,OU=Exchange,OU=Applications,OU=Groups,OU=OSIRIS,DC=chu-brugmann,DC=be
CHU-BRUGMANN	HORTA	ADMINISTRATIF	Tout le PATO de Horta	CN=Tout le PATO de Horta,OU=Distribution,OU=Groups,OU=OSIRIS,DC=chu-brugmann,DC=be
